,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,746GS2073,GS,       101.50,                   817810.00,8082
,747GJ28,SG,       100.73,                    10073.00,100
,74GS2062,GS,       102.99,                    21428.89,208
,753IRFC30,NJ,      1138.00,                   652407.16,575
,754GS2036,GS,       106.08,                 34269678.45,323043
,757GS2033,GS,       105.00,                   815325.00,7765
,760PFCL35,N3,      1211.11,                  1537697.99,1249
,762NTPC35F,ND,      1218.10,                  1310378.00,1066
,764HUDCO31,N8,      1117.00,                    39095.00,35
,764IRFC31,NO,      1146.00,                    57300.00,50
,764NABAR31,N2,      1115.00,                  1758832.65,1584
,769NHAI31,NE,      1150.15,                  1170683.26,1014
,769TN33,SG,       102.00,                    10200.00,100
,76KA38,SG,        99.00,                    19800.00,200
,76NHAI31,NA,      1112.27,                  1371916.55,1230
,771GS2066,GS,       103.83,                  1506991.07,14517
,774IREDA31,N7,      1124.18,                   292287.50,260
,777HP49,SG,        97.00,                     9700.00,100
,778HP44,SG,        99.00,                     9900.00,100
,77RJ32,SG,       102.00,                    10200.00,100
,783AP43,SG,        95.00,                   190460.00,2000
,788UP46,SG,        95.37,                    95370.00,1000
,797IGT31,NL,      1010.00,                    10100.00,10
,79IGT28,NF,      1020.00,                    76500.00,75
,79NHIT35,N1,       310.96,                  1713387.34,5527
,79NHIT40,N2,       311.53,                  2270105.08,7301
,79NHIT47,N3,       416.53,                   583168.10,1400
,807AP51,SG,       100.00,                    10000.00,100
,810IRFC27,N2,      1081.71,                   378657.50,350
,812REC27,NI,      1025.64,                    17444.44,17
,81ABCL33,N4,      1050.01,                    10500.10,10
,82HUDCO27,N2,      1051.10,                  1429429.42,1359
,82IGT31,NJ,      1032.00,                  1804944.80,1750
,830NHAI27,N2,      1085.91,                   756059.20,696
,842IIFL26,NL,       996.00,                    55956.14,56
,848AEL29,NJ,      1010.00,                    10100.00,10
,852IIFL29,Y5,       994.00,                      994.00,1
,85PFL26A,N7,      1086.01,                    20634.19,19
,862AEL31,NM,      1015.00,                     5075.00,5
,863IRFC29,NC,      1155.00,                   352275.00,305
,865IIFL28,NS,       995.25,                  1820996.50,1830
,865IIFL31,Y6,       987.00,                    19740.00,20
,865IRFC29,NA,      1105.85,                  2208210.10,1996
,865SCL26,N8,      1001.00,                    11010.97,11
,865TCAPS27,N8,      1010.50,                   123052.08,122
,871REC28,N9,      1123.00,                  1235553.50,1100
,875NHAI29,N6,      1111.11,                   322004.61,290
,876HUDCO28,ND,      1131.44,                  1520214.60,1343
,880IREDA29,N5,      1130.00,                    16950.00,15
,880IREDA34,N6,      1280.00,                  1280000.00,1000
,885AEL28,NB,      1035.00,                   118755.00,113
,885TCAPS29,NC,      1045.85,                    10458.50,10
,888ECL28,N1,       984.01,                   277855.25,282
,888IRFC29,NE,      1128.50,                   259759.00,230
,888REC29,NF,      1140.00,                    57000.00,50
,888SCL25E,N4,       939.00,                    10383.00,11
,890AEL31,NN,      1055.21,                  2909259.71,2761
,891IIFCL34,N4,      1255.01,                   376503.00,300
,892NHPC33,N6,      1260.00,                   113400.00,90
,892PFCL33,N8,      1286.87,                   484978.10,377
,893NHB29,N6,      5600.00,                     5600.00,1
,895AEL27,N9,      1010.50,                    50528.00,50
,897GS2030,GS,       111.50,                   273000.00,2450
,901HUDCO34,NE,      1284.99,                   385497.50,300
,901NHB34,N6,      6387.00,                  7996733.20,1240
,902SCL28,N1,       999.00,                   499556.50,500
,903SFL28,YI,      1034.00,                   165595.00,160
,905SC24B,Z9,       999.90,                      999.90,1
,905SCL36,N0,    101000.00,                 15150000.00,150
,910TCAP28,NA,      1114.99,                   569735.00,511
,915AEL28,NC,      1019.00,                    10190.00,10
